Crab,Group,Stage,Weight
CH01_8,LA,J5,0.307
CH03_11,LA,J5,0.386
CH03_13,LA,J6,0.745
CH07_4,LA,J6,0.495
CH07_10,LA,J5,0.507
CH05_6,HA,J7,0.766
CH05_8,HA,J7,0.855
CH05_32,HA,J6,0.575
CH05_37,HA,J6,0.816
CH09_13,HA,J6,0.551
CH09_22,HA,J6,0.542
CH09_26,HA,J7,1.056
CH09_27,HA,J7,1.132
CH09_28,HA,J6,0.629
CH10_8,HA,J6,0.528
CH10_11,HA,J6,0.602
CH10_24,HA,J7,1.064
CH10_36,HA,J6,0.473
CH01_22,LB,J6,0.789
CH01_38,LB,J6,0.718
CH03_4,LB,J7,1.033
CH03_15,LB,J6,0.994
CH03_33,LB,J6,0.641
CH07_24,LB,J7,0.866
CH03_P4,LB,J6,0.463
CH05_1,HB,J6,0.83
CH05_14,HB,J6,0.541
CH05_17,HB,J5,0.504
CH05_21,HB,J6,0.972
CH05_31,HB,J7,0.974
CH05_33,HB,J7,0.446
CH05_36,HB,J6,0.696
CH09_10,HB,J7,0.599
CH09_11,HB,J6,0.835
CH09_18,HB,J7,0.852
CH09_30,HB,J7,1.003
CH10_1,HB,J6,0.584
CH10_6,HB,J6,0.589
CH10_13,HB,J7,1.267
CH10_17,HB,J6,0.345
CH10_19,HB,J6,0.512
CH10_22,HB,J7,0.832
CH10_32,HB,J7,0.748
CH01_6,LC,J6,0.795
CH01_14,LC,J6,0.639
CH01_30,LC,J5,0.399
CH03_5,LC,J5,0.422
CH03_8,LC,J5,0.566
CH03_29,LC,J5,0.401
CH03_32,LC,J6,0.657
CH07_6,LC,J6,1.245
CH07_8,LC,J6,0.508
CH07_11,LC,J6,0.776
CH05_5,HC,J6,0.635
CH05_7,HC,J6,0.617
CH05_9,HC,J6,0.688
CH05_24,HC,J6,0.571
CH05_26,HC,J6,0.662
CH05_29,HC,J6,0.489
CH05_41,HC,J5,0.29
CH09_2,HC,J6,0.675
CH09_9,HC,J5,0.287
CH09_20,HC,J7,0.808
CH09_29,HC,J7,0.9
CH09_31,HC,J6,0.618
CH09_35,HC,J5,0.535
CH09_40,HC,J6,0.787
CH09_42,HC,J7,0.925
CH10_21,HC,J6,0.718
CH10_28,HC,J6,0.636
CH10_34,HC,J7,0.946
CH10_40,HC,J6,0.589
