Crab,Group,J1,J1_L,J2,J2_L,J3,J3_L,J4,J4_L,J5,J5_L,J6,J6_L,
CH01_2,LA,DEAD,,----,,----,,----,,,,,,
CH01_8,LA,4.58,5.02,6.46,6.01,7.55,6.68,9.77,8.21,,,,,
CH01_10,LA,DEAD,,----,,----,,----,,,,,,
CH01_39,LA,5.31,5.63,7.16,6.55,8.75,7.42,crushed,,,,,,
CH01_40,LA,4.99/crush,,6.98,6.52,8.7,7.69,10.38,9.01,,,,,
CH03_9,LA,4.72,,6.44,6.05,DEAD,,----,,,,,,
CH03_11,LA,4.97,5.31,6.92,----,8.81,7.66,10.26,8.77,,,,,
CH03_13,LA,5.08,5.63,7.01,6.58,8.81,7.74,10.64,9.14,13.13,10.98,,,
CH03_14,LA,DEAD,,----,,----,,----,,,,,,
CH03_20,LA,4.89,5.24,----,,----,,----,,,,,,
CH03_27,LA,4.96,5.08,6.71,5.96,GONE,,----,,,,,,
CH03_28,LA,Dissolved,,6.02,5.72,7.89,7.07,DEAD,,,,,,
CH07_4,LA,Crushed,,Crushed,,8.09,7.52,9.84,8.64,11.7,10.15,,,
CH07_5,LA,5.33,5.57,7.27,6.84,9.06,7.94,10.96,9.6,,,,,
CH07_10,LA,5.21,5.38,6.93,6.27,9.4,8.11,11.4,9.61,,,,,
CH07_30,LA,DEAD,,----,,----,,----,,,,,,
CH01_P1,LA,4.83,,6.03,5.66,7.8,7.09,9.28,7.65,,,,,
CH01_P2,LA,5.24,,----,,----,,----,,,,,,
,,,,,,,,,,,,,,
CH05_6,HA,5.29,5.46,6.4,6.12,8.5,7.89,9.15,8.15,9.6,,13.57,11.05,
CH05_8,HA,Crushed,,6.51,5.99,8.3,7.42,9.27,8.47,8.59,,14.79,12.18,
CH05_22,HA,5.09,5.24,6.85,6.47,8.92,7.98,10.82,9.22,,,,,
CH05_25,HA,5,5.29,6.95,6.51,9.36,8.11,11,9.49,,,,,
CH05_32,HA,5.02,5.01,6.85,6.14,8.3,7.43,10.5,9.14,12.29,10.24,----,,
CH05_37,HA,4.92,5.1,6.12,5.27,7.8,7.09,8.84,7.87,10.73,9.17,13.23,11.22,
CH09_13,HA,5,5.18,6.61,6.17,7.3,6.52,8.67,----,----,----,12.07,10.04,
CH09_14,HA,DEAD,,----,,----,,----,,,,,,
CH09_22,HA,4.84,5.17,6.23,5.89,7.56,6.86,9.37,8.1,11.39,9.47,,,
CH09_23,HA,4.61,4.92,DEAD,,----,,----,,,,,,
CH09_26,HA,4.8,----,6.31,5.87,7.78,7.04,12.43,9.48,12.43,10.69,15.11,12.32,
CH09_25,HA,4.97,5.48,GONE,,----,,----,,,,,,
CH09_27,HA,4.74,5.09,6.13,5.46,8.04,7.03,----,----,11.98,10.21,15.17,12.44,
CH09_28,HA,5.02,5.32,6.58,6.12,8.01,7.3,9.88,8.68,13.44,11.57,,,
CH09_33,HA,5.09,5.56,----,,----,,----,,,,,,
CH10_7,HA,4.73,4.74,5.91,5.48,7.44,6.62,,,,,,,
CH10_8,HA,5.45,5.56,6.09,5.78,7.37,6.7,8.64,7.72,10.86,9.28,,,
CH10_9,HA,4.77,5.05,6.1,5.64,DEAD,,----,,,,,,
