Crab,Group,J1,J1_L,J2,J2_L,J3,J3_L,J4,J4_L,J5,J5_L,J6,J6_L,J7,J7_L
CH01_2,LA,5.35,5.43,----,----,----,----,----,----,----,----,----,----,----,----
CH01_8,LA,4.50,4.67,5.98,5.72,7.61,6.89,9.01,8.26,11.17,9.35,,,,
CH01_10,LA,4.71,5.00,----,----,----,----,----,----,----,----,----,----,----,----
CH01_39,LA,5.15,5.30,6.72,6.27,9.19,8.24,10.37,9.16,13.35,11.20,,,,
CH01_40,LA,4.94,5.23,6.68,6.22,9.00,--,10.21,8.99,13.44,11.35,,,,
CH03_9,LA,----,----,6.56,6.23,8.41,7.37,----,----,----,----,----,----,----,----
CH03_11,LA,4.79,4.62,6.34,6.11,9.08,8.03,10.24,8.74,12.48,10.62,,,,
CH03_13,LA,5.07,4.91,6.86,6.26,8.70,7.76,10.75,9.10,13.47,11.24,15.55,12.83,,
CH03_14,LA,4.12,4.59,----,----,----,----,----,----,----,----,----,----,----,----
CH03_20,LA,4.82,4.93,6.04,5.64,DEAD,----,----,----,----,----,----,----,----,----
CH03_27,LA,----,----,6.06,6.42,9.15,7.84,----,----,----,----,----,----,----,----
CH03_28,LA,----,----,6.09,5.46,7.80,7.10,9.76,8.59,----,----,----,----,----,----
CH07_4,LA,4.75,4.86,6.36,5.41,9.23,8.10,9.93,8.61,11.94,10.18,14.66,12.13,,
CH07_5,LA,5.23,5.35,6.88,6.28,9.48,8.59,10.94,9.72,13.77,11.52,,,,
CH07_10,LA,5.15,5.31,7.20,6.30,9.93,--,11.34,8.87,13.55,11.25,,,,
CH07_30,LA,4.71,5.04,----,----,----,----,----,----,----,----,----,----,----,----
CH01_P1,LA,4.78,4.95,6.02,5.58,8.26,6.94,8.92,7.64,10.95,NP,,,,
CH01_P2,LA,5.10,5.13,6.40,6.01,DEAD,----,----,----,----,----,----,----,----,----
,,,,,,,,,,,,,,,
CH05_6,HA,4.89,5.35,6.13,5.95,7.14,6.50,9.03,7.97,,9.59,13.77,11.55,16.18,13.48
CH05_8,HA,----,----,6.45,5.68,7.94,7.14,9.65,7.89,12.28,--,14.58,11.80,16.92,13.81
CH05_22,HA,----,----,7.16,5.97,8.52,7.83,10.88,8.95,13.58,11.34,,,,
CH05_25,HA,----,----,7.07,6.60,9.55,8.53,10.87,9.40,12.97,10.96,,,,
CH05_32,HA,----,----,5.92,5.75,8.30,6.34,10.36,8.57,12.37,10.35,15.67,13.16,,
CH05_37,HA,----,----,6.39,6.16,8.30,7.52,8.79,7.84,10.88,9.49,13.35,10.97,17.88,14.78
CH09_13,HA,4.90,5.00,6.02,5.33,7.21,6.49,8.41,7.09,9.82,8.63,12.23,10.08,14.64,
CH09_14,HA,4.82,4.91,----,-----,----,----,----,----,----,----,----,----,----,----
CH09_22,HA,----,----,6.24,6.04,8.01,7.29,9.07,8.05,11.48,9.91,13.80,10.77,,
CH09_23,HA,4.90,5.06,5.99,5.23,----,----,----,----,----,----,----,----,----,----
CH09_26,HA,4.71,4.65,6.17,5.88,8.22,6.93,9.54,8.64,12.12,10.20,15.35,12.58,17.40,13.92
CH09_25,HA,4.64,5.13,6.71,6.33,----,----,----,----,----,----,----,----,----,----
CH09_27,HA,----,----,6.32,5.73,7.94,7.02,9.76,8.46,12.18,10.25,15.36,12.91,17.81,14.48
CH09_28,HA,----,----,6.59,6.24,7.99,6.93,9.98,8.66,12.25,10.45,17.87,14.72,,
CH09_33,HA,4.95,5.25,DEAD,----,----,----,----,----,----,----,----,----,----,----
CH10_7,HA,----,----,6.01,5.66,8.06,7.07,9.09,7.13,GONE,,----,----,----,----
CH10_8,HA,5.18,5.27,6.34,5.84,7.61,6.11,9.19,8.17,11.40,9.27,13.84,11.25,,
CH10_9,HA,4.68,4.82,6.16,5.66,8.32,7.19,----,----,----,----,----,----,----,----
CH10_11,HA,4.79,4.98,6.52,6.07,7.68,6.85,9.36,7.97,11.41,9.83,14.23,11.71,,
CH10_24,HA,----,----,6.79,6.31,9.14,7.97,10.77,9.26,12.71,10.96,14.83,12.50,17.76,14.76
CH10_29,HA,4.62,4.85,DEAD,----,----,----,----,----,----,----,----,----,----,----
CH10_36,HA,4.83,5.40,6.20,6.18,7.56,6.93,8.77,8.01,10.34,9.56,12.93,11.14,,
